| epoch   4 |   200/ 9945 batches | lr 0.10 | ms/batch 19.92 | loss  6.06 | ppl   429.68
| epoch   4 |   400/ 9945 batches | lr 0.10 | ms/batch 19.84 | loss  5.99 | ppl   398.93
| epoch   4 |   600/ 9945 batches | lr 0.10 | ms/batch 19.81 | loss  5.97 | ppl   393.01
| epoch   4 |   800/ 9945 batches | lr 0.10 | ms/batch 19.74 | loss  5.91 | ppl   370.52
| epoch   4 |  1000/ 9945 batches | lr 0.10 | ms/batch 19.47 | loss  6.04 | ppl   421.48
| epoch   4 |  1200/ 9945 batches | lr 0.10 | ms/batch 19.48 | loss  5.76 | ppl   317.76
| epoch   4 |  1400/ 9945 batches | lr 0.10 | ms/batch 19.97 | loss  5.95 | ppl   383.75
| epoch   4 |  1600/ 9945 batches | lr 0.10 | ms/batch 19.85 | loss  5.90 | ppl   363.53
| epoch   4 |  1800/ 9945 batches | lr 0.10 | ms/batch 19.46 | loss  5.95 | ppl   382.37
| epoch   4 |  2000/ 9945 batches | lr 0.10 | ms/batch 18.80 | loss  5.90 | ppl   363.41
| epoch   4 |  2200/ 9945 batches | lr 0.10 | ms/batch 18.81 | loss  5.92 | ppl   371.25
| epoch   4 |  2400/ 9945 batches | lr 0.10 | ms/batch 19.04 | loss  5.96 | ppl   387.10
| epoch   4 |  2600/ 9945 batches | lr 0.10 | ms/batch 19.45 | loss  5.94 | ppl   378.67
| epoch   4 |  2800/ 9945 batches | lr 0.10 | ms/batch 18.60 | loss  5.87 | ppl   355.31
| epoch   4 |  3000/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.95 | ppl   385.25
| epoch   4 |  3200/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  5.86 | ppl   351.63
| epoch   4 |  3400/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.94 | ppl   378.83
| epoch   4 |  3600/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.89 | ppl   361.93
| epoch   4 |  3800/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.93 | ppl   375.12
