| epoch   3 |  3400/14918 batches | lr 0.10 | ms/batch 17.18 | loss  6.10 | ppl   444.29
| epoch   3 |  3600/14918 batches | lr 0.10 | ms/batch 17.23 | loss  5.96 | ppl   386.08
| epoch   3 |  3800/14918 batches | lr 0.10 | ms/batch 17.54 | loss  5.82 | ppl   337.33
| epoch   3 |  4000/14918 batches | lr 0.10 | ms/batch 17.48 | loss  5.93 | ppl   375.28
| epoch   3 |  4200/14918 batches | lr 0.10 | ms/batch 17.63 | loss  5.96 | ppl   389.54
| epoch   3 |  4400/14918 batches | lr 0.10 | ms/batch 17.29 | loss  6.02 | ppl   411.99
| epoch   3 |  4600/14918 batches | lr 0.10 | ms/batch 17.26 | loss  5.95 | ppl   383.24
| epoch   3 |  4800/14918 batches | lr 0.10 | ms/batch 17.22 | loss  5.97 | ppl   392.53
| epoch   3 |  5000/14918 batches | lr 0.10 | ms/batch 17.43 | loss  5.92 | ppl   373.07
| epoch   3 |  5200/14918 batches | lr 0.10 | ms/batch 17.85 | loss  5.98 | ppl   395.61
| epoch   3 |  5400/14918 batches | lr 0.10 | ms/batch 17.08 | loss  5.84 | ppl   342.14
| epoch   3 |  5600/14918 batches | lr 0.10 | ms/batch 17.19 | loss  5.96 | ppl   386.05
| epoch   3 |  5800/14918 batches | lr 0.10 | ms/batch 17.12 | loss  5.89 | ppl   363.20
| epoch   3 |  6000/14918 batches | lr 0.10 | ms/batch 17.27 | loss  6.07 | ppl   433.87
| epoch   3 |  6200/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.03 | ppl   415.13
| epoch   3 |  6400/14918 batches | lr 0.10 | ms/batch 18.26 | loss  5.99 | ppl   399.70
| epoch   3 |  6600/14918 batches | lr 0.10 | ms/batch 18.77 | loss  5.90 | ppl   365.14
| epoch   3 |  6800/14918 batches | lr 0.10 | ms/batch 18.42 | loss  5.88 | ppl   358.06
| epoch   3 |  7000/14918 batches | lr 0.10 | ms/batch 18.33 | loss  5.92 | ppl   374.19
| epoch   3 |  7200/14918 batches | lr 0.10 | ms/batch 17.62 | loss  5.88 | ppl   357.15
| epoch   3 |  7400/14918 batches | lr 0.10 | ms/batch 17.46 | loss  5.93 | ppl   375.90
| epoch   3 |  7600/14918 batches | lr 0.10 | ms/batch 17.28 | loss  5.95 | ppl   385.49
| epoch   3 |  7800/14918 batches | lr 0.10 | ms/batch 17.65 | loss  5.99 | ppl   400.69
| epoch   3 |  8000/14918 batches | lr 0.10 | ms/batch 17.69 | loss  5.98 | ppl   394.70
| epoch   3 |  8200/14918 batches | lr 0.10 | ms/batch 17.66 | loss  6.00 | ppl   402.94
